patterns,themes
(?:^|[^a-z])cop ?[0-9]+,['climate']
(?:emissions? )?(?:de )?gaz (?:a )?(?:effets? )(?:de )?serre,['climate']
(?:pertes?|fontes?|diminutions?|reductions?) (?:glaces?|calottes?(?: polaires?)|permafrost|pergelisol),"['climate', 'environment']"
"[architectures? durab[^ ]+, ecolo[^ ]+, materiaux]",['sustainability']
"[basse energie, durabilite]",['energy']
"[bio(?:diversite|sphere), consequence, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), ecolo[^ ]+]",['environment']
"[bio(?:diversite|sphere), ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), effondrement, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), erosion, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), evolution, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), impact, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), probleme, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), destruction, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), extinction, environnement|[ ]ecolo[^ ]+|ecosyst[^ ]+]",['environment']
architectur[^ ]+ bioclimatique,['energy']
"[bioclimat[^ ]+, energ[^ ]+]",['energy']
"[climat, environnement, [ ]ecolo[^ ]+]",['environment']
"[conceptions? bioclimat[^ ]+, durab(?:ilite|le), systemes? energetiques?]",['environment']
"[consom[^ ]+ (?:d')?energ[^ ]+, developp[^ ]+ durab[^ ]+, environnement]",['energy']
"[consom[^ ]+ (?:d')?energ[^ ]+, durabilite, environnement]",['energy']
"[consom[^ ]+ (?:d')?energ[^ ]+, solutions? developp[^ ]+ durab[^ ]+, environnement]",['energy']
"[construction durable, [ ]ecolo[^ ]+, materiaux]",['sustainability']
"[contamin[^ ]+, aquifere]",['environment']
"[contamin[^ ]+, cours d'eau]",['environment']
"[contamin[^ ]+, oceans?]",['environment']
"[contamin[^ ]+, phreatique]",['environment']
"[degradation, aquifere]",['environment']
"[degradation, cours d'eau]",['environment']
"[degradation, ecosyst[^ ]+, environnement]",['environment']
"[degradation, ocean]",['environment']
"[degradation, phreatique]",['environment']
"[developp[^ ]+ durab[^ ]+, anthropocen[^ +]]",['sustainability']
"[developp[^ ]+ durab[^ ]+, droits? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, environnement, [ ]ecolo[^ ]+|ecosyst[^ ]+]",['sustainability']
"[developp[^ ]+ durab[^ ]+, impacts? (?:sur|de )(?:l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, materiaux, gisement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, perturbations? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, problem(?:e|atique)s? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transiti[^ ]+ climat]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transiti[^ ]+ energ[^ ]+]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transiti[^ ]+ social]",['sustainability']
"[durab(?:le|ilite), mobilite]",['sustainability']
"[[ ]ecolo[^ ]+, anthropocen[^ ]+]",['environment']
"[[ ]ecolo[^ ]+, climat, agriculture]","['climate', 'environment']"
"[[ ]ecolo[^ ]+, climat, amenagements? du territoire]","['environment', 'climate']"
"[[ ]ecolo[^ ]+, climat, developpements? du territoire]","['environment', 'climate']"
"[[ ]ecolo[^ ]+, climat, elevage]","['climate', 'environment']"
"[[ ]ecolo[^ ]+, etudes? multispecifiques?, environnement]",['environment']
"[[ ]ecolo[^ ]+, transiti[^ ]+ climatiq[^ ]+","['environment', 'climate']"
"[[ ]ecolo[^ ]+, transiti[^ ]+ energ[^ ]+]","['environment', 'energy']"
"[[ ]ecolo[^ ]+, transiti[^ ]+ sociale]",['environment']
"[[ ]ecolo[^ ]+, durabilite]",['environment']
"[ecologie politique, environnement]",['environment']
"[economie sociale, transiti[^ ]+ ecolo[^ ]+]",['sustainability']
"[economie sociale, transiti[^ ]+ social]",['sustainability']
"[economie solidaire, transiti[^ ]+ ecolo[^ ]+]",['sustainability']
"[economie solidaire, transiti[^ ]+ social]",['sustainability']
"[ecosyst[^ ]+, degradations?, anthrop(?:iq|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, perturbations?, anthrop(?:iq|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, pollution]",['environment']
"[ecosyst[^ ]+, pollutions?, anthrop(?:iq|ocene)]","['environment', 'resources']"
"[effets? (?:de )?serre, atmosphere]",['climate']
"[effets? (?:de )?serre, climat]",['climate']
"[effondrement, climat, environnement]",['resources']
"[effondrement, espece]",['environment']
"[effondrement, insecte]",['environment']
"[effondrement, oiseau]",['environment']
"[electri[^ ]+, stockage]",['energy']
electri[^ ]+ verte,['energy']
"[elevation, mers?, climat[^ ]+]",['climate']
"[elevation, oceans?, climat[^ ]+]",['climate']
"[environnement, (?:de)?pollution, developp[^ ]+ durab[^ ]+]",['sustainability']
extinction (?:des |de l')espece,['environment']
"[extinction, insecte]",['environment']
"[extinction, oiseau]",['environment']
"[extraction, impact, environnement]",['resources']
"[gestion (?:de l')environnement, [ ]ecolo[^ ]+, impact]",['environment']
"[glaciolog, climatolog, atmospher]",['climate']
"[glaciolog, climatolog, modelisation]",['climate']
"[glaciolog, climatolog, thermodynamiq]",['climate']
"[impact, aquifere]",['environment']
"[impact, cours d'eau]",['environment']
"[impact, oceans?]",['environment']
"[impact, pesticide]",['environment']
"[impact, phreatique]",['environment']
"[impacts? (?:de l')humanite, cycles? bio-?geo-?(?:chimique|physique)]",['climate']
"[impacts? (?:de l'|des )homme, cycles? bio-?geo-?(?:chimique|physique)]",['climate']
"[impacts? (?:de l'|des )industrie, cycles? bio-?geo-?(?:chimique|physique)]",['climate']
"[nucleaire, pollu(?:ant|tion), environnement]","['energy', 'environment']"
"[performances? energ[^ ]+, developp[^ ]+ durab[^ ]+, environnement]",['energy']
"[performances? energ[^ ]+, durabilite, environnement]",['energy']
"[performances? energ[^ ]+, solution durab[^ ]+, environnement]",['energy']
"[plastique, ocean]",['environment']
"[plastique, pollution]",['environment']
"[pollution, aquifere]",['environment']
"[pollution, cours d'eau]",['environment']
"[pollution, ocean]",['environment']
"[pollution, pesticide]",['environment']
"[pollution, phreatique]",['environment']
"[recyclage, environnement]",['resources']
"[solutions? durab[^ ]+, environnement|[ ]ecolo[^ ]+]",['sustainability']
"[solutions? durab[^ ]+, impact]",['sustainability']
"[terres rares, durabilite]",['resources']
"[terres rares, environnement]",['resources']
"[terres rares, extraction]",['resources']
"[terres rares, impact]",['resources']
accords? de paris(?:(?: sur| pour) le climat)?,['climate']
actions? (?:pour )?(?:le )?climat[^ ]+,['climate']
adaptations? (?:aux? )?(?:changements? )?climat[^ ]+,['climate']
agglomeration durable,['sustainability']
agriculture biologique,['environment']
agriculture durable,['sustainability']
agro-?foresterie,['environment']
agro[- ]?ecolo[^ ]+,['environment']
analyse (?:de )?cycle (?:de )?vie,"['resources', 'sustainability']"
architectures? durab[^ ]+,"['resources', 'sustainability']"
assainissements? des eaux,['resources']
attenu[^ ]+ climat[^ ]+,['climate']
bas[- ]carbon[^ ]+,"['climate', 'energy']"
bilan[^ ]+ carbon[^ ]+,"['climate', 'energy']"
captures? (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
"chimie (?:[^ ]+ ){0,4}verte",['environment']
climato-?scept[^ ]+,['climate']
collapsologie,['sustainability']
conditions? climat[^ ]+,['climate']
conditions? meteo[^ ]+ extr[^ ]+,"['environment', 'climate']"
consom[^ ]+ durab[^ ]+,['sustainability']
context[^ ]+ climat[^ ]+,['climate']
conversi[^ ]+(?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
crises? ecolo[^ ]+,['environment']
crises? environnement,['environment']
cycle du carbone,['climate']
decarbon[^ ]+,"['climate', 'energy']"
defis? (?:environnement|ecolo[^ ]+),['environment']
deforestation,['resources']
deteriorations? (?:ecosyst[^ ]+|ecolo[^ ]+),['environment']
diplomatie climat[^ ]+,['climate']
droits? (?:d'|de l')?environnement,['environment']
durabilite climat,['sustainability']
durabilite environnement,['sustainability']
ecologiste,['environment']
economie circulaire,"['sustainability', 'resources']"
economie des communs,['sustainability']
economie ecologique,['sustainability']
ecoresponsab[^ ]+,['environment']
effica[^ ]+ (?:des )?ressource,"['sustainability', 'resources']"
effica[^ ]+ energ[^ ]+,['energy']
effondrement (?:des? )stock,['resources']
electri[^ ]+ photovol[^ ]+,['energy']
emissions? (?:du |de )?(?:co2|dioxyde de carbone),['climate']
empreint[^ ]+ carbon[^ ]+,"['climate', 'energy']"
energ[^ ]+ eolien,['energy']
energ[^ ]+ fossile,['energy']
energ[^ ]+ renouvelab[^ ]+,['energy']
energ[^ ]+ solaire,['energy']
energ[^ ]+ verte,['energy']
enjeux? climat[^ ]+,['climate']
epuisement (?:des? )?ressources? naturelle,['resources']
epuisement halieutique,['resources']
epurations? des eaux,['resources']
evenements? meteo[^ ]+ extr[^ ]+,"['climate', 'environment']"
exploitation durable,['resources']
forcages? climat[^ ]+,['climate']
foret durable,['resources']
geoingenierie,['climate']
gestio[^ ]+ durab[^ ]+,['sustainability']
gestion (?:du |des )?chang[^ ]+ climat[^ ]+,['sustainability']
impacts? (?:ecosyst[^ ]+|ecolo[^ ]+),['environment']
impacts? climat[^ ]+,['climate']
justices? climat[^ ]+,['climate']
materiaux ecolo[^ ]+,['resources']
mobilite (?:a )?hydrog[^ ]+,['energy']
mobilite electriques?,['energy']
model[^ ]+ climat[^ ]+,['climate']
objectifs? (de )?developpements? durables?,['sustainability']
panneaux? photovol[^ ]+,['energy']
peche durable,['resources']
permaculture,['environment']
pertes? (?:ecosyst[^ ]+|ecolo[^ ]+),['environment']
physique (?:du )?climat[^ ]+,['climate']
pic (?:d')?extraction,['resources']
pic petrolier,['resources']
politiques? (?:en )?matieres? (?:de )?chang[^ ]+ climat[^ ]+,['sustainability']
politiques? climat[^ ]+,['climate']
pratiques? durabl[^ ]+,['sustainability']
processus climat[^ ]+,['climate']
produ[^ ]+ durab[^ ]+,['sustainability']
project[^ ]+ climat[^ ]+,['climate']
protection (?:de l')?environnement,['environment']
questions? climat[^ ]+,['climate']
rarefaction (des )?ressources naturelles,['resources']
rechauffement climat[^ ]+,['climate']
refugies? climatiques?,['climate']
resist[^ ]+ climat[^ ]+,"['climate', 'sustainability']"
risques? (?:lies? )?(?:au )?climat[^ ]+,"['climate', 'sustainability']"
sequestrat[^ ]+ (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
services? ecosystemiq,['environment']
stock[^ ]* (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
strategies? climat[^ ]+,['climate']
surpeche,['resources']
temp[^ ]+ mond[^ ]+ moyenne,"['climate', 'environment']"
temp[^ ]+ moyenne mond[^ ]+,"['climate', 'environment']"
theorie de l'effondrement,['sustainability']
transiti[^ ]+ ecolo[^ ]+,['sustainability']
transiti[^ ]+ energ[^ ]+,['energy']
transport durable,['sustainability']
utilis[^ ]+ (?:d')?energ[^ ]+,['energy']
valorisat[^ ]+ (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
ville durable,['sustainability']
voitures? (?:a )?hydrog[^ ]+,['energy']
voitures? electriques?,['energy']
gestion (?:de l'|des )?eaux?,['sustainability']
eco-?conception,['sustainability']
approches? bioclimat[^ ]+,['climate']
"[lutte, changements? climat[^ ]+]",['climate']
"[lutte, rechauffement climat[^ ]+]",['climate']
reglement[^ ]* environnement,['environment']
projets? environnement,['environment']
"[environnement, ressource, effondrement]",['environment']
benefices? environnement,['environment']
gouvernance environnement,['environment']
genie de l'environnement,['environment']
"[developp[^ ]+ durab[^ ]+, plan de developpement]",['sustainability']
ecologie politique,['environment']
psychologie (?:de l')?environnement,['environment']
education (?:à l')?environnement,['environment']
effets? rebonds?,['sustainability']
anthropocen(?:e|ique),['sustainability']
sante environnement,['environment']
qualité de l'air,['environment']
ecotoxicologie,['environment']
contamination des sols|sols? contamine,['environment']
problemes? (?:environnement|ecolo[^ ]+|ecosyst[^ ]+),['environment']
"[protection, aquifere]",['environment']
"[developp[^ ]+ durab[^ ]+, gisement]",['sustainability']
micro-?finance verte,['sustainability']
controles? de la pollution,['environment']
techniques? de depollution,['environment']
anthropologie (?:de l')?environnement,['environment']
questions? environnement,['environment']
politique environnement,['environment']
ressources? (?:non-?)?renouvelable,['resources']
responsabilite environnement[^ ]+,['environment']
biologie de la conservation,['environment']